UFC 107: Penn vs. Sanchez,Ultimate Fighting Championship,"December 12, 2009",FedExForum,"Memphis, Tennessee","13,896[1]","$1,500,000[1]","620,000[2]"
UFC 108: Evans vs. Silva,Ultimate Fighting Championship,"January 2, 2010",MGM Grand Garden Arena,"Las Vegas, Nevada","13,529[1]","$1,969,670[1]","300,000[2]"
UFC Fight Night: Maynard vs. Diaz,Ultimate Fighting Championship,"January 11, 2010",Patriot Center,"Fairfax, Virginia","8,078[1]","$753,962[1]",nan
UFC 109: Relentless,Ultimate Fighting Championship,"February 6, 2010",Mandalay Bay Events Center,"Las Vegas, Nevada","10,753[1]","$2,273,000[1]","275,000[2]"
UFC 110: Nogueira vs. Velasquez,Ultimate Fighting Championship,21 February 2010,Acer Arena,"Sydney, Australia","17,431[1]","$2,500,000[1]","240,000[2]"
UFC Live: Vera vs. Jones,Ultimate Fighting Championship,"March 21, 2010",1stBank Center,"Broomfield, Colorado[1]","6,443[2]","$568,125[2]",nan
UFC 111: St-Pierre vs. Hardy,Ultimate Fighting Championship,"March 27, 2010",Prudential Center,"Newark, New Jersey","17,000[1]","$4,000,000[1]","770,000[2]"
UFC Fight Night: Florian vs. Gomi,Ultimate Fighting Championship,"March 31, 2010",Bojangles' Coliseum,"Charlotte, North Carolina","7,700[1]","$590,685[1]",nan
UFC 112: Invincible,Ultimate Fighting Championship,"April 10, 2010","Concert Arena, Yas Island","Abu Dhabi, United Arab Emirates","11,008[1]","$3,500,000[1]","500,000[2]"
UFC 113: Machida vs. Shogun 2,Ultimate Fighting Championship,"May 8, 2010",Bell Centre,"Montreal, Quebec, Canada","17,647[1]","$3,270,000[1]","520,000[2]"
UFC 114: Rampage vs. Evans,Ultimate Fighting Championship,"May 29, 2010",MGM Grand Garden Arena,"Las Vegas, Nevada","14,996[1]","$3,895,000[1]","1,050,000[2]"
UFC 115: Liddell vs. Franklin,Ultimate Fighting Championship,"June 12, 2010",General Motors Place,"Vancouver, British Columbia, Canada","17,669[1]","$4,221,787[1]","520,000[2]"
The Ultimate Fighter: Team Liddell vs. Team Ortiz Finale,Ultimate Fighting Championship,"June 19, 2010",Palms Casino Resort,"Las Vegas, Nevada","1,708[14]","$430,000[14]",nan
UFC 116: Lesnar vs. Carwin,Ultimate Fighting Championship,"July 3, 2010",MGM Grand Garden Arena,"Las Vegas, Nevada","12,740[1]","$2,053,990[1]","1,160,000[2]"
UFC Live: Jones vs. Matyushenko,Ultimate Fighting Championship,"August 1, 2010",Valley View Casino Center,"San Diego, California","8,132[1]","$489,685[1]",nan
UFC 117: Silva vs. Sonnen,Ultimate Fighting Championship,"August 7, 2010",Oracle Arena,"Oakland, California","12,971[1]","$1,560,000[1]","600,000[2]"
UFC 118: Edgar vs. Penn 2,Ultimate Fighting Championship,"August 28, 2010",TD Garden,"Boston, Massachusetts","14,168[1]","$2,800,000[1]","570,000[2]"
