Date,Event,Title,Promotion,Fighter_1,Fighter_2,Rematch,Venue,City,Attendance,Gate,Buyrate
2012-09-22,UFC 152,Jones vs. Belfort,Ultimate Fighting Championship,Jones,Belfort,0,Air Canada Centre,"Toronto, Ontario, Canada",16800.0,1921000.0,450000.0
2012-10-13,UFC 153,Silva vs. Bonnar,Ultimate Fighting Championship,Silva,Bonnar,0,HSBC Arena,"Rio de Janeiro, Brazil",16844.0,,410000.0
2012-11-17,UFC 154,St-Pierre vs. Condit,Ultimate Fighting Championship,St-Pierre,Condit,0,Bell Centre,"Montreal, Quebec, Canada",17249.0,3143000.0,700000.0
2012-12-29,UFC 155,dos Santos vs. Velasquez 2,Ultimate Fighting Championship,dos Santos,Velasquez,1,MGM Grand Garden Arena,"Las Vegas, Nevada",13561.0,3286025.0,590000.0
2013-02-02,UFC 156,Aldo vs. Edgar,Ultimate Fighting Championship,Aldo,Edgar,0,Mandalay Bay Events Center,"Las Vegas, Nevada",10275.0,2437150.0,330000.0
2013-02-23,UFC 157,Rousey vs. Carmouche,Ultimate Fighting Championship,Rousey,Carmouche,0,Honda Center,"Anaheim, California",13257.0,,450000.0
2013-03-16,UFC 158,St-Pierre vs. Diaz,Ultimate Fighting Championship,St-Pierre,Diaz,0,Bell Centre,"Montreal, Quebec, Canada",16523.0,3630166.0,950000.0
2013-04-27,UFC 159,Jones vs. Sonnen,Ultimate Fighting Championship,Jones,Sonnen,0,Prudential Center,"Newark, New Jersey",15227.0,2700000.0,530000.0
2013-05-25,UFC 160,Velasquez vs. Bigfoot 2,Ultimate Fighting Championship,Velasquez,Bigfoot,1,MGM Grand Garden Arena,"Las Vegas, Nevada",12380.0,,380000.0
2013-06-15,UFC 161,Evans vs. Henderson,Ultimate Fighting Championship,Evans,Henderson,0,MTS Centre,"Winnipeg, Manitoba, Canada",14754.0,,140000.0
