Date,Event,Promotion,Venue,City,Attendance,Gate,Buyrate
2008-06-21,The Ultimate Fighter: Team Rampage vs. Team Forrest Finale,Ultimate Fighting Championship,Palms Casino Resort,"Las Vegas, Nevada",2500.0,495350.0,
2008-07-05,UFC 86: Jackson vs. Griffin,Ultimate Fighting Championship,Mandalay Bay Events Center,"Las Vegas, Nevada",10990.0,3350730.0,540000.0
2008-07-19,UFC Fight Night: Silva vs. Irvin,Ultimate Fighting Championship,Palms Casino Resort,"Las Vegas, Nevada",2071.0,,100000.0
2008-08-09,UFC 87: Seek and Destroy,Ultimate Fighting Championship,Target Center,"Minneapolis, Minnesota",15087.0,2252000.0,625000.0
2008-09-06,UFC 88: Breakthrough,Ultimate Fighting Championship,Philips Arena,"Atlanta, Georgia",14736.0,2600000.0,480000.0
2008-09-17,UFC Fight Night: Diaz vs. Neer,Ultimate Fighting Championship,Omaha Civic Auditorium,"Omaha, Nebraska",9103.0,700000.0,
2008-10-18,UFC 89: Bisping vs. Leben,Ultimate Fighting Championship,National Indoor Arena,"Birmingham, United Kingdom",9515.0,,
2008-10-25,UFC 90: Silva vs. Côté,Ultimate Fighting Championship,Allstate Arena,"Rosemont, Illinois",15359.0,2850000.0,300000.0
2008-11-15,UFC 91: Couture vs. Lesnar,Ultimate Fighting Championship,MGM Grand Garden Arena,"Las Vegas, Nevada",14272.0,4815675.0,1010000.0
2008-12-10,UFC: Fight for the Troops,Ultimate Fighting Championship,Cumberland County Crown Coliseum,"Fayetteville, North Carolina",8200.0,,
2008-12-13,The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,Ultimate Fighting Championship,Palms Casino Resort,"Las Vegas, Nevada",1853.0,405000.0,
2008-12-27,UFC 92: The Ultimate 2008,Ultimate Fighting Championship,MGM Grand Garden Arena,"Las Vegas, Nevada",14103.0,3468440.0,1000000.0
2009-01-17,UFC 93: Franklin vs. Henderson,Ultimate Fighting Championship,The O2,"Dublin, Ireland",9369.0,1300000.0,350000.0
2009-01-31,UFC 94: St-Pierre vs. Penn 2,Ultimate Fighting Championship,MGM Grand Garden Arena[1],"Las Vegas, Nevada",14885.0,4290020.0,920000.0
2009-02-07,UFC Fight Night: Lauzon vs. Stephens,Ultimate Fighting Championship,USF Sun Dome[1],"Tampa, Florida[1]",7596.0,428000.0,
2009-02-21,UFC 95: Sanchez vs. Stevenson,Ultimate Fighting Championship,The O2 Arena,"London, United Kingdom",13268.0,1000000.0,
2009-03-07,UFC 96: Jackson vs. Jardine,Ultimate Fighting Championship,Nationwide Arena,"Columbus, Ohio",17033.0,1800000.0,350000.0
2009-04-01,UFC Fight Night: Condit vs. Kampmann,Ultimate Fighting Championship,Sommet Center,"Nashville, Tennessee",10267.0,626077.0,
2009-04-18,UFC 97: Redemption,Ultimate Fighting Championship,Bell Centre,"Montreal, Quebec, Canada",21451.0,4900000.0,650000.0
2009-05-23,UFC 98: Evans vs. Machida,Ultimate Fighting Championship,MGM Grand Garden Arena,"Las Vegas, Nevada",12606.0,3257350.0,635000.0
2009-06-13,UFC 99: The Comeback,Ultimate Fighting Championship,Lanxess Arena,"Cologne, Germany",12854.0,1300000.0,360000.0
2009-06-20,The Ultimate Fighter: United States vs. United Kingdom Finale,Ultimate Fighting Championship,Pearl Concert Theater,"Las Vegas, Nevada",2217.0,498650.0,
2009-07-11,UFC 100,Ultimate Fighting Championship,Mandalay Bay Events Center,"Las Vegas, Nevada",10871.0,5101740.0,1600000.0
2009-08-08,UFC 101: Declaration,Ultimate Fighting Championship,Wachovia Center,"Philadelphia, Pennsylvania",17411.0,3550000.0,850000.0
2009-08-29,UFC 102: Couture vs. Nogueira,Ultimate Fighting Championship,Rose Garden,"Portland, Oregon",16088.0,1920000.0,435000.0
2009-09-16,UFC Fight Night: Diaz vs. Guillard,Ultimate Fighting Championship,Cox Convention Center,"Oklahoma City, Oklahoma",9490.0,577997.0,
2009-09-19,UFC 103: Franklin vs. Belfort,Ultimate Fighting Championship,American Airlines Center,"Dallas, Texas",17428.0,2400000.0,375000.0
2009-10-24,UFC 104: Machida vs. Shogun,Ultimate Fighting Championship,Staples Center,"Los Angeles, California",14892.0,1913093.0,500000.0
2009-11-14,UFC 105: Couture vs. Vera,Ultimate Fighting Championship,Evening News Arena,"Manchester, United Kingdom",16693.0,2000000.0,
2009-11-21,UFC 106: Ortiz vs. Griffin 2,Ultimate Fighting Championship,Mandalay Bay Events Center,"Las Vegas, Nevada",10529.0,3003250.0,375000.0
2009-12-05,The Ultimate Fighter: Heavyweights Finale,Ultimate Fighting Championship,Palms Casino Resort,"Las Vegas, Nevada",1791.0,503600.0,
2009-12-12,UFC 107: Penn vs. Sanchez,Ultimate Fighting Championship,FedExForum,"Memphis, Tennessee",13896.0,1500000.0,620000.0
2010-01-02,UFC 108: Evans vs. Silva,Ultimate Fighting Championship,MGM Grand Garden Arena,"Las Vegas, Nevada",13529.0,1969670.0,300000.0
2010-01-11,UFC Fight Night: Maynard vs. Diaz,Ultimate Fighting Championship,Patriot Center,"Fairfax, Virginia",8078.0,753962.0,
2010-02-06,UFC 109: Relentless,Ultimate Fighting Championship,Mandalay Bay Events Center,"Las Vegas, Nevada",10753.0,2273000.0,275000.0
2010-02-21,UFC 110: Nogueira vs. Velasquez,Ultimate Fighting Championship,Acer Arena,"Sydney, Australia",17431.0,2500000.0,240000.0
2010-03-21,UFC Live: Vera vs. Jones,Ultimate Fighting Championship,1stBank Center,"Broomfield, Colorado[1]",6443.0,568125.0,
2010-03-27,UFC 111: St-Pierre vs. Hardy,Ultimate Fighting Championship,Prudential Center,"Newark, New Jersey",17000.0,4000000.0,770000.0
2010-03-31,UFC Fight Night: Florian vs. Gomi,Ultimate Fighting Championship,Bojangles' Coliseum,"Charlotte, North Carolina",7700.0,590685.0,
2010-04-10,UFC 112: Invincible,Ultimate Fighting Championship,"Concert Arena, Yas Island","Abu Dhabi, United Arab Emirates",11008.0,3500000.0,500000.0
2010-05-08,UFC 113: Machida vs. Shogun 2,Ultimate Fighting Championship,Bell Centre,"Montreal, Quebec, Canada",17647.0,3270000.0,520000.0
2010-05-29,UFC 114: Rampage vs. Evans,Ultimate Fighting Championship,MGM Grand Garden Arena,"Las Vegas, Nevada",14996.0,3895000.0,1050000.0
2010-06-12,UFC 115: Liddell vs. Franklin,Ultimate Fighting Championship,General Motors Place,"Vancouver, British Columbia, Canada",17669.0,4221787.0,520000.0
2010-06-19,The Ultimate Fighter: Team Liddell vs. Team Ortiz Finale,Ultimate Fighting Championship,Palms Casino Resort,"Las Vegas, Nevada",1708.0,430000.0,
2010-07-03,UFC 116: Lesnar vs. Carwin,Ultimate Fighting Championship,MGM Grand Garden Arena,"Las Vegas, Nevada",12740.0,2053990.0,1160000.0
2010-08-01,UFC Live: Jones vs. Matyushenko,Ultimate Fighting Championship,Valley View Casino Center,"San Diego, California",8132.0,489685.0,
2010-08-07,UFC 117: Silva vs. Sonnen,Ultimate Fighting Championship,Oracle Arena,"Oakland, California",12971.0,1560000.0,600000.0
2010-08-28,UFC 118: Edgar vs. Penn 2,Ultimate Fighting Championship,TD Garden,"Boston, Massachusetts",14168.0,2800000.0,570000.0
2010-09-15,UFC Fight Night: Marquardt vs. Palhares,Ultimate Fighting Championship,Frank Erwin Center,"Austin, Texas",7724.0,595900.0,
2010-09-25,UFC 119: Mir vs. Cro Cop,Ultimate Fighting Championship,Conseco Fieldhouse,"Indianapolis, Indiana",15811.0,1600000.0,295000.0
2010-10-16,UFC 120: Bisping vs. Akiyama,Ultimate Fighting Championship,O2 Arena,"London, United Kingdom",17133.0,2560000.0,
2010-10-23,UFC 121: Lesnar vs. Velasquez,Ultimate Fighting Championship,Honda Center,"Anaheim, California",14856.0,2237000.0,1050000.0
2010-11-13,UFC 122: Marquardt vs. Okami,Ultimate Fighting Championship,König Pilsener Arena,"Oberhausen, Germany",8421.0,600000.0,
2010-11-20,UFC 123: Rampage vs. Machida,Ultimate Fighting Championship,The Palace of Auburn Hills,"Auburn Hills, Michigan",16404.0,2100000.0,500000.0
2010-12-04,The Ultimate Fighter: Team GSP vs. Team Koscheck Finale,Ultimate Fighting Championship,Palms Casino Resort,"Las Vegas, Nevada",1903.0,380025.0,
2010-12-11,UFC 124: St-Pierre vs. Koscheck 2,Ultimate Fighting Championship,Bell Centre,"Montreal, Quebec, Canada",23152.0,4600000.0,800000.0
2011-01-01,UFC 125: Resolution,Ultimate Fighting Championship,MGM Grand Garden Arena,"Las Vegas, Nevada",12874.0,2174780.0,270000.0
2011-01-22,UFC: Fight for the Troops 2,Ultimate Fighting Championship,Fort Hood,"Killeen, Texas",3200.0,,
2011-02-05,UFC 126: Silva vs. Belfort,Ultimate Fighting Championship,Mandalay Bay Events Center,"Las Vegas, Nevada",10893.0,3600000.0,725000.0
2011-02-27,UFC 127: Penn vs. Fitch,Ultimate Fighting Championship,Acer Arena,"Sydney, Australia",18186.0,3500000.0,260000.0
2011-03-03,UFC Live: Sanchez vs. Kampmann,Ultimate Fighting Championship,KFC Yum! Center,"Louisville, Kentucky",8319.0,471450.0,
2011-03-19,UFC 128: Shogun vs Jones,Ultimate Fighting Championship,Prudential Center,"Newark, New Jersey",12619.0,2140000.0,490000.0
2011-03-26,UFC Fight Night: Nogueira vs. Davis,Ultimate Fighting Championship,KeyArena,"Seattle, Washington",13741.0,1182850.0,
2011-04-30,UFC 129: St-Pierre vs. Shields,Ultimate Fighting Championship,Rogers Centre,"Toronto, Ontario, Canada",55724.0,12075000.0,800000.0
2011-05-28,UFC 130: Rampage vs. Hamill,Ultimate Fighting Championship,MGM Grand Garden Arena,"Las Vegas, Nevada",12753.0,2580000.0,325000.0
2011-06-04,The Ultimate Fighter: Team Lesnar vs. Team dos Santos Finale,Ultimate Fighting Championship,Palms Casino Resort,"Las Vegas, Nevada",2053.0,440150.0,
2011-06-11,UFC 131: dos Santos vs. Carwin,Ultimate Fighting Championship,Rogers Arena,"Vancouver, British Columbia, Canada",14685.0,2800000.0,330000.0
2011-06-26,UFC Live: Kongo vs. Barry,Ultimate Fighting Championship,Consol Energy Center,"Pittsburgh, Pennsylvania",7792.0,562000.0,
2011-07-02,UFC 132: Cruz vs. Faber 2,Ultimate Fighting Championship,MGM Grand Garden Arena,"Las Vegas, Nevada",13109.0,2304500.0,350000.0
2011-08-06,UFC 133: Evans vs. Ortiz,Ultimate Fighting Championship,Wells Fargo Center,"Philadelphia, Pennsylvania",11583.0,1500000.0,310000.0
2011-08-14,UFC Live: Hardy vs. Lytle,Ultimate Fighting Championship,Bradley Center,"Milwaukee, Wisconsin",6751.0,539000.0,
2011-08-27,UFC 134: Silva vs. Okami 2,Ultimate Fighting Championship,HSBC Arena,"Rio de Janeiro, Brazil",14000.0,,335000.0
